"","triToken","Ranking"
"340","that is a",373
"341","that i have",373
"342","that i am",373
"343","that awkward moment",373
"344","thanks to everyone",373
"345","thanks to and",373
"346","talk to you",373
"347","sounds like a",373
"348","sorry for the",373
"349","so so so",373
"350","so much to",373
"351","side of the",373
"352","see you there",373
"353","pride pride pride",373
"354","out to be",373
"355","out how to",373
"356","on twitter i",373
"357","on the th",373
"358","of you who",373
"359","of course not",373
"360","not at all",373
"361","my name is",373
"362","moment when you",373
"363","might have to",373
"364","might be the",373
"365","me in the",373
"366","make sure you",373
"367","make it to",373
"368","love you too",373
"369","lets get it",373
"370","let you know",373
"371","learn how to",373
"372","just wanted to",373
"373","just need to",373
"374","just made a",373
"375","join us at",373
"376","its not the",373
"377","its gonna be",373
"378","its going to",373
"379","its a great",373
"380","it makes me",373
"381","it is not",373
"382","it is a",373
"383","it i was",373
"384","is the last",373
"385","is in the",373
"386","is better than",373
"387","is about to",373
"388","in this world",373
"389","in the us",373
"390","in the next",373
"391","in the middle",373
"392","in the first",373
"393","in love with",373
"394","ill be there",373
"395","if you were",373
"396","if you can",373
"397","i would be",373
"398","i wonder if",373
"399","i wanna see",373
"400","i love this",373
"401","i look like",373
"402","i like that",373
"403","i just saw",373
"404","i just got",373
"405","i just dont",373
"406","i havent seen",373
"407","i have the",373
"408","i dont even",373
"409","i dont care",373
"410","i cant stop",373
"411","i cant believe",373
"412","i can do",373
"413","i absolutely love",373
"414","hey thanks for",373
"415","have to get",373
"416","happy birthday to",373
"417","happy birthday i",373
"418","great to see",373
"419","good luck with",373
"420","gonna be a",373
"421","give me a",373
"422","for your support",373
"423","for the retweet",373
"424","for the next",373
"425","for a chance",373
"426","dont forget to",373
"427","do you like",373
"428","chance to win",373
"429","can get a",373
"430","but im not",373
"431","but i cant",373
"432","be the same",373
"433","be a great",373
"434","be a good",373
"435","at the same",373
"436","at least a",373
"437","are you ready",373
"438","are you looking",373
"439","are you gonna",373
"440","are you doing",373
"441","and we will",373
"442","and thanks for",373
"443","and i cant",373
"444","all the things",373
"445","a few weeks",373
"446","a beautiful day",373
"447","you were a",622
"448","you tell me",622
"449","you ready for",622
"450","you please follow",622
"451","you need to",622
"452","you know you",622
"453","you just have",622
"454","you have any",622
"455","you dont like",622
"456","you dont know",622
"457","you can get",622
"458","would make my",622
"459","would be a",622
"460","working on a",622
"461","work on my",622
"462","wish you were",622
"463","will you be",622
"464","will be on",622
"465","will be back",622
"466","will be a",622
"467","why is it",622
